user_id,event_type,timestamp,device,source,user_segment,utm_medium,campaign
U0001,ad_click,2025-07-22 09:15:39,desktop,facebook,At Risk,organic,new-launch
U0001,product_view,2025-07-22 09:17:39,desktop,facebook,At Risk,organic,new-launch
U0001,cart_add,2025-07-22 09:21:39,desktop,facebook,At Risk,organic,new-launch
U0001,checkout,2025-07-22 09:18:39,desktop,facebook,At Risk,organic,new-launch
U0002,ad_click,2025-07-22 15:13:27,desktop,linkedin,Returning User,referral,retarget
U0002,product_view,2025-07-22 15:14:27,desktop,linkedin,Returning User,referral,retarget
U0002,cart_add,2025-07-22 15:19:27,desktop,linkedin,Returning User,referral,retarget
U0002,checkout,2025-07-22 15:16:27,desktop,linkedin,Returning User,referral,retarget
U0003,ad_click,2025-07-22 15:41:04,tablet,google,High Value,cpc,new-launch
U0003,product_view,2025-07-22 15:44:04,tablet,google,High Value,cpc,new-launch
U0003,cart_add,2025-07-22 15:45:04,tablet,google,High Value,cpc,new-launch
U0003,checkout,2025-07-22 15:44:04,tablet,google,High Value,cpc,new-launch
U0005,ad_click,2025-07-22 17:50:08,mobile,twitter,Returning User,referral,clearance
U0005,product_view,2025-07-22 17:53:08,mobile,twitter,Returning User,referral,clearance
U0005,cart_add,2025-07-22 17:52:08,mobile,twitter,Returning User,referral,clearance
U0005,checkout,2025-07-22 17:53:08,mobile,twitter,Returning User,referral,clearance
U0006,ad_click,2025-07-22 15:09:32,tablet,google,Returning User,referral,retarget
U0006,product_view,2025-07-22 15:11:32,tablet,google,Returning User,referral,retarget
U0006,cart_add,2025-07-22 15:11:32,tablet,google,Returning User,referral,retarget
U0006,checkout,2025-07-22 15:12:32,tablet,google,Returning User,referral,retarget
U0008,ad_click,2025-07-22 14:30:05,tablet,facebook,New User,email,prime-deal
U0008,product_view,2025-07-22 14:32:05,tablet,facebook,New User,email,prime-deal
U0008,cart_add,2025-07-22 14:34:05,tablet,facebook,New User,email,prime-deal
U0008,checkout,2025-07-22 14:33:05,tablet,facebook,New User,email,prime-deal
U0009,ad_click,2025-07-22 16:06:02,mobile,facebook,New User,organic,prime-deal
U0009,product_view,2025-07-22 16:09:02,mobile,facebook,New User,organic,prime-deal
U0009,cart_add,2025-07-22 16:10:02,mobile,facebook,New User,organic,prime-deal
U0009,checkout,2025-07-22 16:12:02,mobile,facebook,New User,organic,prime-deal
U0010,ad_click,2025-07-22 11:36:37,desktop,google,Returning User,organic,clearance
U0011,ad_click,2025-07-22 08:30:54,tablet,google,New User,email,new-launch
U0011,product_view,2025-07-22 08:31:54,tablet,google,New User,email,new-launch
U0011,cart_add,2025-07-22 08:32:54,tablet,google,New User,email,new-launch
U0011,checkout,2025-07-22 08:36:54,tablet,google,New User,email,new-launch
U0012,ad_click,2025-07-22 10:08:52,mobile,instagram,High Value,organic,clearance
U0012,product_view,2025-07-22 10:09:52,mobile,instagram,High Value,organic,clearance
U0012,cart_add,2025-07-22 10:10:52,mobile,instagram,High Value,organic,clearance
U0014,ad_click,2025-07-22 09:17:52,mobile,linkedin,High Value,referral,clearance
U0014,product_view,2025-07-22 09:19:52,mobile,linkedin,High Value,referral,clearance
U0014,cart_add,2025-07-22 09:23:52,mobile,linkedin,High Value,referral,clearance
U0014,checkout,2025-07-22 09:26:52,mobile,linkedin,High Value,referral,clearance
U0015,ad_click,2025-07-22 20:33:19,tablet,instagram,High Value,email,new-launch
U0015,product_view,2025-07-22 20:34:19,tablet,instagram,High Value,email,new-launch
U0015,cart_add,2025-07-22 20:39:19,tablet,instagram,High Value,email,new-launch
U0015,checkout,2025-07-22 20:42:19,tablet,instagram,High Value,email,new-launch
U0016,ad_click,2025-07-22 15:43:41,desktop,linkedin,High Value,organic,prime-deal
U0016,product_view,2025-07-22 15:45:41,desktop,linkedin,High Value,organic,prime-deal
U0016,cart_add,2025-07-22 15:45:41,desktop,linkedin,High Value,organic,prime-deal
U0016,checkout,2025-07-22 15:52:41,desktop,linkedin,High Value,organic,prime-deal
U0017,ad_click,2025-07-22 19:24:40,tablet,twitter,At Risk,cpc,new-launch
U0017,product_view,2025-07-22 19:27:40,tablet,twitter,At Risk,cpc,new-launch
U0017,cart_add,2025-07-22 19:26:40,tablet,twitter,At Risk,cpc,new-launch
U0017,checkout,2025-07-22 19:33:40,tablet,twitter,At Risk,cpc,new-launch
U0018,ad_click,2025-07-22 14:44:00,tablet,instagram,High Value,cpc,prime-deal
U0018,product_view,2025-07-22 14:47:00,tablet,instagram,High Value,cpc,prime-deal
U0018,cart_add,2025-07-22 14:48:00,tablet,instagram,High Value,cpc,prime-deal
U0018,checkout,2025-07-22 14:53:00,tablet,instagram,High Value,cpc,prime-deal
U0019,ad_click,2025-07-22 10:57:56,desktop,linkedin,Returning User,organic,new-launch
U0020,ad_click,2025-07-22 14:10:39,tablet,facebook,New User,referral,retarget
U0021,ad_click,2025-07-22 16:54:00,mobile,facebook,New User,cpc,clearance
U0023,ad_click,2025-07-22 14:37:25,tablet,twitter,Returning User,cpc,new-launch
U0023,product_view,2025-07-22 14:39:25,tablet,twitter,Returning User,cpc,new-launch
U0023,cart_add,2025-07-22 14:41:25,tablet,twitter,Returning User,cpc,new-launch
U0023,checkout,2025-07-22 14:40:25,tablet,twitter,Returning User,cpc,new-launch
U0024,ad_click,2025-07-22 13:43:46,desktop,facebook,High Value,referral,new-launch
U0025,ad_click,2025-07-22 14:43:04,tablet,google,At Risk,email,prime-deal
U0025,product_view,2025-07-22 14:46:04,tablet,google,At Risk,email,prime-deal
U0025,cart_add,2025-07-22 14:45:04,tablet,google,At Risk,email,prime-deal
U0025,checkout,2025-07-22 14:46:04,tablet,google,At Risk,email,prime-deal
U0027,ad_click,2025-07-22 12:24:24,tablet,linkedin,Returning User,referral,retarget
U0028,ad_click,2025-07-22 12:51:01,mobile,instagram,New User,email,retarget
U0028,product_view,2025-07-22 12:54:01,mobile,instagram,New User,email,retarget
U0028,cart_add,2025-07-22 12:57:01,mobile,instagram,New User,email,retarget
U0028,checkout,2025-07-22 12:54:01,mobile,instagram,New User,email,retarget
