customer_id,product_id,order_value,return_reason,return_count,damaged_flag,days_since_last_return,is_fraud
1102,19145,62.07,No Reason,2,1,173,0
1435,19494,50.46,Not Needed,3,0,3,0
1860,13381,114.03,No Reason,1,0,171,0
1270,15839,79.94,Damaged,4,0,91,0
1106,12880,131.24,No Reason,2,0,16,0
1071,14887,45.14,Not Needed,1,0,81,0
1700,10545,91.07,No Reason,3,0,4,0
1020,11927,81.52,No Reason,1,0,71,0
1614,14152,52.66,Damaged,1,0,125,0
1121,10004,100.15,Wrong Item,1,0,4,0
1466,15533,55.28,Damaged,3,1,34,0
1214,19554,106.68,No Reason,1,0,22,0
1330,15378,121.62,No Reason,1,0,149,0
1458,16233,108.03,Wrong Item,0,0,111,0
1087,12663,111.82,Wrong Item,2,0,116,0
1372,19465,130.94,Damaged,1,0,65,0
1099,13326,99.2,Wrong Item,3,0,163,0
1871,13659,75.22,Damaged,2,0,66,0
1663,11131,81.73,Not Needed,1,0,27,0
1130,14763,82.38,No Reason,3,0,150,0
1661,16737,68.7,Wrong Item,1,0,140,0
1308,15092,123.53,Not Needed,1,1,68,0
1769,16022,115.81,Not Needed,2,0,29,0
1343,13159,50.05,Damaged,2,0,59,0
1491,16159,75.21,Damaged,1,0,86,0
1413,17318,67.24,Wrong Item,2,0,96,0
1805,18445,109.52,Damaged,1,0,148,0
1385,15307,132.3,Not Needed,1,1,111,0
1191,18520,113.45,Not Needed,1,0,76,0
1955,13044,78.96,No Reason,2,1,41,0
1276,19612,90.43,Not Needed,1,0,104,0
1160,15636,58.21,Wrong Item,0,0,47,0
1459,12892,60.52,No Reason,2,0,104,0
1313,15288,125.38,Damaged,3,0,149,0
1021,15812,143.32,No Reason,2,0,72,0
1252,10654,78.56,Not Needed,4,0,94,0
1747,15481,101.44,Wrong Item,0,0,49,0
1856,10759,121.62,Damaged,1,0,175,0
1560,16782,50.08,Damaged,0,0,65,0
1474,11798,68.54,Not Needed,1,0,109,0
1058,15159,159.81,Wrong Item,3,0,35,0
1510,18446,71.27,Not Needed,3,1,28,0
1681,15262,89.14,Not Needed,2,0,97,0
1475,13823,81.91,Wrong Item,1,1,174,0
1699,11876,40.16,Not Needed,1,1,120,0
1975,16154,102.48,Wrong Item,1,1,49,0
1782,17787,99.24,Wrong Item,4,0,8,0
1189,14516,105.43,Not Needed,2,0,75,0
1957,13734,97.46,Not Needed,3,0,84,0
1686,19436,86.2,No Reason,0,1,4,0
1957,15972,84.48,Damaged,1,1,6,0
1562,16639,84.99,Damaged,0,0,171,0
1875,15356,70.34,Wrong Item,1,0,36,0
1566,16380,74.99,No Reason,3,0,124,0
1243,11008,70.84,Wrong Item,2,0,2,0
1831,14314,117.2,No Reason,3,0,142,0
1504,19702,109.18,Wrong Item,5,1,82,1
1130,12508,100.81,Damaged,3,0,112,0
1484,14758,158.27,No Reason,0,0,2,0
1818,12682,72.23,Not Needed,2,0,83,0
1646,17311,133.56,Not Needed,4,0,78,0
1020,10989,92.2,Damaged,1,0,101,0
1840,18446,104.71,No Reason,1,1,141,0
1166,14711,120.13,Not Needed,1,0,3,0
1273,16479,85.67,Not Needed,3,0,162,0
1387,16964,68.3,Not Needed,0,0,135,0
1600,18075,73.25,Damaged,5,0,162,0
1315,14452,36.81,Wrong Item,1,0,67,0
1013,18447,118.2,Not Needed,2,0,35,0
1241,11007,117.48,Not Needed,1,0,77,0
1776,16496,147.51,Wrong Item,1,0,171,0
1345,19947,112.45,Not Needed,2,0,63,0
1564,17688,119.66,No Reason,2,0,19,0
