employee_id,avg_leadership_score,completed_mentorships,last_promotion_status,high_potential_flag,promotion_ready_flag
10000,1.37,0,not_promoted,no,no
10019,4.83,0,not_promoted,yes,no
10027,2.2266666666666666,2,promoted,no,no
10028,3.485,3,not_promoted,no,yes
10033,3.613333333333333,1,not_promoted,yes,no
10036,2.96,1,not_promoted,no,no
10038,0.0,1,promoted,no,no
10048,3.1300000000000003,0,not_promoted,no,no
10049,0.0,0,not_promoted,no,no
10052,3.85,2,promoted,yes,no
10055,3.455,0,not_promoted,no,no
10060,2.234,1,not_promoted,no,no
10064,1.76,2,unknown,no,yes
10073,2.9,1,promoted,no,no
10075,3.5260000000000007,4,not_promoted,yes,yes
10076,2.465,2,promoted,no,no
10082,3.02,0,not_promoted,no,no
10085,3.356666666666667,1,promoted,no,no
10091,4.065,1,promoted,yes,no
10099,2.145,0,promoted,no,no
10101,3.775,4,not_promoted,yes,yes
10105,3.1950000000000003,0,not_promoted,no,no
10108,2.55,1,not_promoted,no,no
10110,4.006666666666667,0,not_promoted,yes,no
10112,2.455,0,promoted,no,no
10113,2.325,1,not_promoted,no,no
10115,2.08,1,promoted,no,no
10116,2.15,2,promoted,no,no
10119,3.706666666666667,1,not_promoted,yes,no
10120,4.132499999999999,3,unknown,yes,yes
10122,3.12,0,not_promoted,no,no
10123,2.645,1,not_promoted,no,no
10137,3.52,1,promoted,yes,no
10139,4.07,1,not_promoted,yes,no
10141,3.22,0,promoted,no,no
10143,4.39,0,not_promoted,yes,no
10144,0.0,1,promoted,no,no
10150,2.5660000000000003,0,not_promoted,no,no
10152,3.2825,2,promoted,no,no
10157,3.108571428571429,1,not_promoted,no,no
10159,3.4240000000000004,1,promoted,no,no
10160,3.98,0,promoted,yes,no
10162,1.955,0,promoted,no,no
10163,3.45,2,not_promoted,no,yes
10171,3.76,1,not_promoted,yes,no
10174,3.3966666666666665,0,not_promoted,no,no
10176,2.745,1,promoted,no,no
10178,3.0875,1,unknown,no,no
10179,0.0,1,not_promoted,no,no
10183,1.975,2,not_promoted,no,yes
10187,1.84,1,not_promoted,no,no
10189,2.755,1,not_promoted,no,no
10198,2.896666666666667,0,not_promoted,no,no
10199,4.0725,1,not_promoted,yes,no
10210,2.27,3,not_promoted,no,yes
10212,2.96,1,not_promoted,no,no
10214,4.67,1,not_promoted,yes,no
10223,3.14,2,not_promoted,no,yes
10228,3.3266666666666667,1,not_promoted,no,no
10231,3.66,0,promoted,yes,no
10233,3.1100000000000003,2,not_promoted,no,yes
10235,3.63,4,promoted,yes,no
10244,2.715,1,promoted,no,no
10247,2.453333333333333,3,not_promoted,no,yes
10251,4.345000000000001,1,unknown,yes,no
10252,2.19,2,not_promoted,no,yes
10258,0.0,0,not_promoted,no,no
10269,1.835,0,promoted,no,no
10288,0.0,0,promoted,no,no
10290,1.16,0,not_promoted,no,no
10291,4.24,1,not_promoted,yes,no
10292,3.0650000000000004,0,promoted,no,no
10294,3.245,1,promoted,no,no
10296,2.435,2,not_promoted,no,yes
10304,2.99,1,not_promoted,no,no
10306,3.33,1,not_promoted,no,no
10310,2.875,0,not_promoted,no,no
10311,3.01,0,not_promoted,no,no
10316,4.15,0,not_promoted,yes,no
10320,3.61,0,promoted,yes,no
10321,2.685,0,not_promoted,no,no
10322,1.21,1,promoted,no,no
10323,3.78,0,promoted,yes,no
10330,3.6533333333333338,4,promoted,yes,no
10333,1.95,2,not_promoted,no,yes
10337,3.92,1,not_promoted,yes,no
10340,4.215,0,promoted,yes,no
10344,3.67,1,promoted,yes,no
10346,3.905,1,not_promoted,yes,no
10348,1.58,0,promoted,no,no
10353,0.0,1,not_promoted,no,no
10355,2.89,2,promoted,no,no
10357,1.515,1,promoted,no,no
10358,3.543333333333333,3,promoted,yes,no
10360,3.14,1,promoted,no,no
10363,2.473333333333333,0,promoted,no,no
10364,3.45,1,unknown,no,no
10366,3.0500000000000003,0,not_promoted,no,no
10389,2.08,0,promoted,no,no
10394,3.2475,2,unknown,no,yes
10403,2.886,1,promoted,no,no
10406,2.8,0,promoted,no,no
10407,3.5333333333333337,0,promoted,yes,no
10411,2.3275,0,not_promoted,no,no
10419,3.2,3,not_promoted,no,yes
10421,3.18,2,not_promoted,no,yes
10424,2.5283333333333333,0,not_promoted,no,no
10427,3.285,0,promoted,no,no
10428,3.056666666666667,0,not_promoted,no,no
10431,3.816666666666667,1,not_promoted,yes,no
10435,3.315,1,promoted,no,no
10441,2.643333333333333,1,not_promoted,no,no
10445,1.595,0,promoted,no,no
10446,2.375,1,promoted,no,no
10448,1.8066666666666664,1,not_promoted,no,no
10449,2.668333333333333,1,not_promoted,no,no
10457,2.5725,1,not_promoted,no,no
10458,1.81,0,promoted,no,no
10462,2.4075,0,unknown,no,no
10464,1.81,0,promoted,no,no
10471,4.135000000000001,1,not_promoted,yes,no
10473,3.223333333333333,0,promoted,no,no
10474,3.0475000000000003,1,not_promoted,no,no
10475,2.555,1,unknown,no,no
10484,3.75,0,unknown,yes,no
10488,2.214,0,not_promoted,no,no
10490,2.9,0,not_promoted,no,no
10491,2.145,0,not_promoted,no,no
10497,2.955,1,promoted,no,no
10505,2.8549999999999995,0,not_promoted,no,no
10508,3.2433333333333336,2,not_promoted,no,yes
10510,4.78,1,promoted,yes,no
10512,2.246,4,not_promoted,no,yes
10513,0.0,3,not_promoted,no,yes
10515,2.7533333333333334,2,not_promoted,no,yes
10521,2.78,1,not_promoted,no,no
10524,3.108333333333333,0,not_promoted,no,no
10525,0.0,1,promoted,no,no
10527,1.85,0,not_promoted,no,no
10529,2.565,0,not_promoted,no,no
10532,3.1533333333333338,1,not_promoted,no,no
10533,2.7433333333333336,0,promoted,no,no
10540,2.46,1,promoted,no,no
10544,2.726,1,promoted,no,no
10554,2.84,0,promoted,no,no
10557,1.16,0,not_promoted,no,no
10560,0.0,0,promoted,no,no
10563,1.95,2,promoted,no,no
10564,2.72,0,unknown,no,no
10567,1.66,1,promoted,no,no
10574,4.93,5,promoted,yes,no
10575,2.89,0,not_promoted,no,no
10579,3.2,4,promoted,no,no
10580,2.2339999999999995,0,not_promoted,no,no
10583,3.776666666666667,0,promoted,yes,no
10584,4.779999999999999,1,not_promoted,yes,no
10586,2.583333333333333,2,promoted,no,no
10589,0.0,2,promoted,no,no
10592,3.2133333333333334,1,promoted,no,no
10596,4.58,0,not_promoted,yes,no
10598,2.43,0,promoted,no,no
10600,2.185,1,promoted,no,no
10601,3.055,0,promoted,no,no
10612,2.023333333333333,1,not_promoted,no,no
10615,2.89,0,promoted,no,no
10616,2.425,0,not_promoted,no,no
10624,1.505,1,promoted,no,no
10627,3.2350000000000003,1,not_promoted,no,no
10633,4.136666666666667,0,not_promoted,yes,no
10644,3.975,0,promoted,yes,no
10645,0.0,4,not_promoted,no,yes
10647,3.75,1,not_promoted,yes,no
10650,3.15,0,promoted,no,no
10653,2.6775,0,not_promoted,no,no
10655,3.17,3,not_promoted,no,yes
10656,3.82,0,promoted,yes,no
10662,2.605,0,unknown,no,no
10664,4.5,1,not_promoted,yes,no
10672,2.2425,0,not_promoted,no,no
10673,2.66,0,not_promoted,no,no
10676,3.5400000000000005,1,promoted,yes,no
10678,3.13,0,not_promoted,no,no
10680,3.15,0,promoted,no,no
10683,1.385,0,promoted,no,no
10689,1.01,0,not_promoted,no,no
10691,1.6,2,promoted,no,no
10692,3.67,0,promoted,yes,no
10700,0.0,0,promoted,no,no
10701,2.57,0,promoted,no,no
10703,0.0,0,not_promoted,no,no
10706,2.786,0,promoted,no,no
10713,3.893333333333333,1,not_promoted,yes,no
10719,0.0,2,promoted,no,no
10722,2.975,0,not_promoted,no,no
10726,2.6825,1,not_promoted,no,no
10728,1.715,2,promoted,no,no
10729,2.0900000000000003,0,promoted,no,no
10733,3.4739999999999998,0,promoted,no,no
10736,2.7,1,promoted,no,no
10742,3.25,1,promoted,no,no
10744,2.5,2,promoted,no,no
10751,2.9799999999999995,1,promoted,no,no
10758,3.27,0,promoted,no,no
10772,4.79,1,not_promoted,yes,no
10782,2.996,0,not_promoted,no,no
10785,1.76,2,not_promoted,no,yes
10786,3.27,1,not_promoted,no,no
10791,2.25,0,promoted,no,no
10808,3.01,2,unknown,no,yes
10813,3.01,1,promoted,no,no
10815,4.525,2,promoted,yes,no
10818,4.1175,2,promoted,yes,no
10821,3.2099999999999995,2,not_promoted,no,yes
10827,2.23,0,promoted,no,no
10831,3.066666666666667,0,not_promoted,no,no
10832,4.4,0,not_promoted,yes,no
10833,2.2883333333333336,1,promoted,no,no
10837,3.6575,0,promoted,yes,no
10839,2.255,1,not_promoted,no,no
10841,3.035,1,not_promoted,no,no
10842,2.965,0,promoted,no,no
10843,4.96,0,not_promoted,yes,no
10848,2.276666666666667,0,unknown,no,no
10855,0.0,2,promoted,no,no
10857,3.69,1,promoted,yes,no
10858,2.870000000000001,0,not_promoted,no,no
10865,3.0975,0,not_promoted,no,no
10870,2.915,0,promoted,no,no
10873,3.3266666666666667,1,promoted,no,no
10875,1.88,0,not_promoted,no,no
10877,4.9,0,promoted,yes,no
10878,2.583333333333333,3,not_promoted,no,yes
10881,4.69,1,promoted,yes,no
